"item_code","deskripsi","qty_on_hand","min_stock","max_stock","is_critical","lokasi_rak"
"O-17072-00","Capping VCM200 - Washer for Capping Rotating Plate P/n: 307842; ; ;","0","0","0","Tidak","-"
"O-21157-00","Capsul Filling Z40 - Horizontal Directional Fork with Slotted Screw; -; 4378716097 & 4390415100M; 1 Pc","0","0","0","Tidak","-"
"P-17569-00","Carbon Vanes VT4.16 BECKER","1","0","0","Tidak","A-1-5C"
"O-13799-00","Carbon Vanes VT4.40 INTIDAYA DINAMIKA SEJATI, PT P/N : -  pc","0","0","0","Tidak","-"
"O-16593-00","Carton Sealer - Cutter Blade 2inch p/n:10122","0","0","0","Tidak","-"
"O-52183-00","Carton Sealer - Fuse 10A p/n:2890043","0","0","0","Tidak","-"
"O-16596-00","Carton Sealer - Spring 0.8 x 6.8 x 32 mm p/n:C4415000","0","0","0","Tidak","-"
"O-16597-00","Carton Sealer - Spring 10.2 x 1.2 x 62.5 mm p/n:20009","0","0","0","Tidak","-"
"O-16598-00","Carton Sealer - Spring 2 x 25 x 34 mm p/n:8044","0","0","0","Tidak","-"
"O-16592-00","Carton Sealer - Spring 2.0 x 20.8 x 89 10096-1","0","0","0","Tidak","-"
"O-16591-00","Carton Sealer - Spring 2.2 x 20.8 x 89 p/n:10096-2","0","0","0","Tidak","-"
"O-16589-00","Carton Sealer - Spring 33 x 32 x 4 p/n:10141","0","0","0","Tidak","-"
"O-16595-00","Carton Sealer - Spring 8.5 x 1 x 59 mm p/n:9510299","0","0","0","Tidak","-"
"O-16594-00","Carton Sealer - Spring 8.5 x 1 x 59 mm p/n:9510300","0","0","0","Tidak","-"
"O-16590-00","Carton Sealer - Spring Front Arm Rubber Roller p/n:9510303","0","0","0","Tidak","-"
"O-15568-00","CARTRIDGE FILTER AERVENT 50 0,2 ?M TC 3/4 LOT NO. F2JA25925 S.N. 01612; REJECT VALVE 2 FILTER ;","0","0","0","Tidak","-"
"Q-60113-00","Cat Ambiance Base; Dulux; Type T914A Grey Universal; 20L/pail","0","0","0","Tidak","-"
"Q-10829-00","Cat Ambiance Lakestone 44537M Tinting; Dulux; ;","0","1","2","Tidak","-"
"Q-10655-00","Cat Anti Karat dan Anti Bocor Seiv Flinkote 007","0","0","0","Tidak","-"
"Q-60328-00","Cat Decor Acrylic Enamel DAE - 550 / Solvent Based; Propan; TEAL 5412 - Warna Biru; pack size 20 liter per pail","0","0","0","Tidak","-"
"Q-60105-00","Cat Dulux Ambiance Brilliant White; Dulux; 2290; pack size per 20L","0","1","3","Tidak","-"
"Q-10752-00","Cat Duragloss Silver Metallic;Propan;Type 9115 Silver Metallic;pack size per can","51","2","10","Tidak","-"
"Q-60405-00","Cat Durogloss DR-2000; Propan; Type Spiders Web 90YY 73/040; 0,9 L/can","0","0","0","Tidak","-"
"Q-10526-00","Cat Dustproof Propan Decor DAE 550 Peacock Blue; ; ; - TEAL-5412","0","0","0","Tidak","-"
"Q-10909-00","Cat Epoxy JOTAFLOOR TC RAL 5012 JOTUN","0","0","0","Tidak","-"
"Q-10910-00","Cat Epoxy JOTAFLOOR TC RAL 7035 JOTUN","0","0","0","Tidak","-"
"Q-10911-00","Cat Epoxy JOTAFLOOR TC SEALER CLEAR JOTUN","0","0","0","Tidak","-"
"Q-12050-00","Cat Epoxy lantai PROPAN POLYFLOOR PRIMER PFP-241 2K SB(20KG - SET); PROPAN PFP-241; ;","0","0","0","Tidak","-"
"Q-10272-00","Cat epoxy Polyfloor PFT 253 Propan","0","0","0","Tidak","-"
"Q-60117-00","Cat Epoxy PU-Crete Flowfresh MF Type Light Grey; Flowcrete; ; 20 kg/set","0","0","0","Tidak","-"
"Q-10331-00","Cat F-Talit Hella Grey KF-611 Netto : 1 kg","17","0","0","Tidak","Flammable"
"Q-60213-00","Cat F-Talit KF 125, F-Talit, Type Grass Green, pack size per 1 kg","6","0","0","Tidak","Flammable"
"Q-60234-00","Cat F-Talit KF 582, F-Talit, Type Black, pack size per 1 kg","0","0","0","Tidak","-"
"Q-60226-00","Cat F-Talit KF 731, F-Talit, Type Super White 115-00, pack size per 1 kg","0","0","0","Tidak","-"
"Q-60036-00","Cat F-Talit KF-611 / Hellay Grey / 115-611 @ 1 KG","0","0","0","Tidak","-"
"Q-10064-00","Cat Ftalit 113 Primrose @1kg","0","0","0","Tidak","-"
"Q-10581-00","Cat Ftalit 272 Antique Grey 1 Kg per Can","0","0","0","Tidak","-"
"Q-10580-00","Cat Ftalit 444 Banana Yellow; ; ; 1 Kg per Can","4","0","0","Tidak","-"
"Q-60242-00","Cat Ftalit KF-43 Permanent Red; Kansai Paint; Type 115-143 Permanent Red; pack size per 20 kg pail","1","0","0","Tidak","Flammable"
"Q-60104-00","Cat Hardtop XP PU Jotun","0","0","0","Tidak","-"
"Q-10924-00","Cat Hardtop XP RAL 5018 Turquois Blue Jotun","0","0","0","Tidak","-"
"Q-60404-00","Cat Interior Catylac; Dulux; Type Putih 1501N; 25 kg/pail","0","1","3","Tidak","-"
"Q-10629-00","Cat Lantai Light Blue BAP338 BITAFLOOR","0","0","0","Tidak","-"
"Q-10652-00","Cat Multipurpose PU Acrylic Orange 101-1 Propan","0","0","0","Tidak","-"
"Q-10523-00","Cat Nippon Paint Nippe 2000 318T; Nipon; ;","0","0","0","Tidak","-"
"Q-60063-00","Cat Pilox 102 - White","17","0","0","Tidak","Flammable"
"Q-60061-00","Cat Pilox 109 - Black","7","0","0","Tidak","Flammable"
"Q-60067-00","Cat Pilox 124 - Silver","0","0","0","Tidak","-"
"Q-12141-00","Cat Semprot Blue 312; Samurai Paint; Blue 312; 400 ml per can","0","0","0","Tidak","-"
"Q-60340-00","Cat Semprot Chrome Stainless 360ml; No Brand; ; can","0","0","0","Tidak","-"
"Q-12143-00","Cat Semprot Chrome Yellow; Samurai Paint; Chrome Yellow; 400 ml per can","0","0","0","Tidak","-"
"Q-60342-00","Cat Semprot Green Relax (V9488); Diton Premium; V9488; 400 ml","0","0","0","Tidak","-"
"Q-12142-00","Cat Semprot Grey 104; Samurai Paint; Grey 104; 400 ml per can","0","0","0","Tidak","-"
"Q-12105-00","Cat Semprot Metallic Black 1139; Samurai Paint; Metallic Black 1139; 400 ml/can","0","0","0","Tidak","-"
"Q-12150-00","Cat Semprot Scoopy Brown H391; Samurai Paint; Scoopy Brown H391; 400 ml per can","0","0","0","Tidak","-"
"Q-12140-00","Cat Semprot Signal Red 23; Samurai Paint; Signal Red 23; 400 ml per can","0","0","0","Tidak","-"
"Q-10746-00","Cat Tembok WeatherShield 40544M Day Break Dulux","0","0","0","Tidak","-"
"Q-10475-00","Cat Tembok; ; ; - Cat Dulux Ambiance Brilliant White @ 20 Ltr","0","0","0","Tidak","-"
"Q-90767-00","Cat Weathershield Day Break;Dulux;Type 40544M Day Break;pack size per 20L pail","0","0","0","Tidak","-"
"Q-10563-00","Cat Weathershield Merlin;Dulux;Type 40156M Merlin;pack size per 20L pail","0","0","0","Tidak","-"
"P-15853-00","CATRIDGE FILTER; CHINA; 5 MM","0","0","0","Tidak","-"
"P-15854-00","CATRIDGE FILTER; LOCAL; 5 MM","0","0","0","Tidak","-"
"P-12027-00","Caustic soda flake (NaOH) - NaOH flake zak @25 kg ex Tjiwi","0","0","0","Tidak","-"
"O-19911-00","CC600L Machine - Coil Evaporator Uk. 40 cm x 15 x 15, Material Tembaga; Custom/Lokal; -; 1 Unit","0","0","0","Tidak","-"
"T-80109-00","Cellotape / Lakban Kertas 1 inch warna Putih ; No Brand ; pack size per pcs","0","30","200","Tidak","-"
"T-80108-00","Cellotape Kertas 2 inch warna Putih","0","0","0","Tidak","-"
"P-17540-00","Chain Block 1 Ton x 5 Mtr","0","0","0","Tidak","-"
"P-18964-00","Check Valve Aquarium; Lokal; ;","0","0","0","Tidak","-"
"P-17052-00","Check Valve BRONZE 3/4""; ; ;","0","0","0","Tidak","-"
"P-18618-00","Chemical - Kuclean; No Brand; HL-351; 20L/can","40","20","40","Tidak","-"
"P-12029-00","Chemical - NIKKO steel Type: NS-stain clean = 1kg (stainless steel pickling gel)","5","1","3","Tidak","Flammable"
"P-17645-00","Chemical - Sodium Hiphoclorite; No Brand; -; 1 Liter","1450","450","4000","Tidak","WWTP"
"P-20914-00","Chemical - Spotcheck Cleaner; Magnaflux; SKC-S; 400ml/can","0","0","0","Tidak","-"
"P-20913-00","Chemical - Spotcheck Red Penetrant; Magnaflux; SKL-SP2; 400ml/can","0","0","0","Tidak","-"
"P-18504-00","Chemours - Freon 404A;; ; ;","2","0","0","Tidak","N1"
"O-52277-00","Chin Yen CY-1300S-N - Label Sensor; SICK; Part No. WF2-40B410;","2","0","0","Tidak","G-3"
"J-10205-02","Chlorine Test; Merck; c/n 1.14978.0001; 600 tests/pack","0","0","0","Tidak","-"
"O-54130-00","Circuit Breake For Motor Protection 3RV1011-1HA10 5.5 - 8 A; SIEMENS; ;","0","0","0","Tidak","-"
"O-54112-00","Circulator Pump UPS 32-80 N 180 1x230V 50Hz 9H GRUNDFOS p/n 95906448","0","0","0","Tidak","-"
"O-15921-00","Clamp Ferrule 1/2""; SS304; ; ;","0","0","0","Tidak","-"
"P-17867-00","Clamp Ferrule SS304 dia 2""; ; ;","3","3","5","Tidak","R-4-5"
"P-17252-00","Clamp Holder Pipa SS304 2 Inch","0","0","0","Tidak","-"
"O-16885-00","Clamp Hose Alumunium Ferrule 1 inch EN14425-3","0","0","0","Tidak","-"
"O-16886-00","Clamp Hose Alumunium Ferrule 3/4 inch EN14420-3","2","0","0","Tidak","E-2-1D"
"O-18455-00","Clamp Selang SS304 7/8"" (8-22mm); ; ;","0","0","0","Tidak","-"
"O-19798-00","Clamp Vacuum KF16 Alumunium; ; ;","10","10","20","Tidak","D-3"
"P-52488-00","Clean Phone Room SHP","0","0","0","Tidak","-"
"P-10726-00","Cleaner - Contact Cleaner CRC CO 2016; No Brand; -; 500ml/Botol","3","2","5","Tidak","Flammable"
"P-17830-00","Cleaner Stainless Stell & Polish; 3M; ;","3","2","5","Tidak","Flammable"
"T-80110-00","Clear Holder A4 Bening","0","0","0","Tidak","-"
"O-53454-00","Coating PLAB - Cooling Axial Fan 220-240V 50-60Hz 0,2-0,17A Metal; Kaku; KA1725HA2; 1 Pc","0","0","0","Tidak","-"
"O-21305-00","Coating PLAB - Directional Control Valve; SMC; VNA101A-F6A; 1 Pc","1","0","0","Tidak","-"
"O-21304-00","Coating PLAB - Inflatable Silicone Sealing Ring; ; GDA040193; 1 Pc","1","0","0","Tidak","-"
"O-21307-00","Coating PLAB - Spare Kit; SMC; VN1-4AA; ; ; 1 Pc","3","0","0","Tidak","-"
"O-21306-00","Coating PLAB - Spare Kit; SMC; VN1-A3AA; ; ; 1 Pc","3","0","0","Tidak","-"
"O-54166-00","Coil Magnet 018F0091; Danfoss; ;","0","0","0","Tidak","-"
"O-14621-00","Coil U2 11W 24VDC; Univer; c/n 5233;","4","1","2","Tidak","C-2-6"
"O-21487-00","Colamark - Bracket/Dudukan Monitor Ukuran 3x100x410 mm; Custom/Lokal; -; 1 pc","1","0","0","Tidak","-"
"O-21488-00","Colamark - Bracket/Dudukan Sensor Camera Ukuran 30x120x150mm; Custom/Lokal; -; 1 pc","1","0","0","Tidak","-"
"O-51000-00","Colamark - Print Head; Domino; EPP001359 SP; 1 Pc","0","1","1","Tidak","-"
"O-15400-00","Colamark - Side Arms kit EPT012551; Domino; SP-0076; 1 Pc","1","0","0","Tidak","H-3-4"
"O-21471-00","Colamark - Spares Full Mechanism EAS00 1023SP; Domino; SP-0078; 1 Pc","1","0","0","Tidak","-"
"P-13557-00","Color Ribbon Cassette Model: B9901AX for Recorder Yokogawa Model: SR10006; ; ;","0","0","0","Tidak","-"
"P-13414-00","COMBINATION PLIER 6INC; Krisbow; Part No. KW0101352;","0","0","0","Tidak","-"
"P-13404-00","COMBINATION WRENCH SET 6-22MM 12PCS; Krisbow; Part No. KW0100332;","0","0","0","Tidak","-"
"P-13405-00","COMBINATION WRENCH SET 6-32MM 16PCS; Krisbow; Part No. KW0100333;","0","0","0","Tidak","-"
"P-18028-00","Commercial Lockout Tagout Kit : With Lock, Breaker Lock Outs; ; ;","0","0","0","Tidak","-"
"O-17279-00","Compact Cylinder ADVULQ-20-110-P-A Festo P/n: 156102","0","0","0","Tidak","-"
"P-17027-00","Complete Gasket set for 1 1/2"" FT43-10TV; ; ;","0","0","0","Tidak","-"
"Q-10302-00","Compound / Kompon Gypsum;No Brand;;pack size 20 kg per pck","0","1","3","Tidak","-"
"O-15571-00","COMPRESSED AIR LINE FILTER; F6 ;","0","0","0","Tidak","-"
"P-51912-00","Compressor CAJ4492Y","0","0","0","Tidak","-"
"O-54168-00","Connector Cable CID408-5; Autonics; H7950000607;","2","0","0","Tidak","B-2-2"
"O-54167-00","Connector Cable CLD408-5; Autonics; H7950000609;","2","0","0","Tidak","B-2-3"
"O-51944-00","Connector Plug for Profibus,Simatic DP 6ES7972-0BB12-0XA0; Siemens; ;","0","0","0","Tidak","-"
"O-51755-00","Connector VGA male plug breakout terminal connector 15 Pin Socket VGA; ; ;","0","0","0","Tidak","-"
"P-18546-00","Constan Air Volume EN 200x100 with Flow Scale 0-600 CMH; TROX; ;","0","1","4","Tidak","-"
"P-51857-00","Contact Block SA-CBM Autonics","2","0","0","Tidak","F-2-2D"
"O-52001-00","Contactor Merk. Schneider LC1D40A 220 V","4","0","0","Tidak","M-4"
"P-53363-00","Contactor Schneider LC1D12M7 Coil 220 VAC; ; ;","10","0","0","Tidak","A-4-4A"
"P-50091-00","Contactor Telemecanique  LC1 D25 M7 220V 25A","4","0","0","Tidak","M-4"
"S-40586-00","Container Box; Claris; ;","0","0","0","Tidak","-"
"P-51908-00","Control Switch Model: S2SR-S4W2A Autonics","1","0","0","Tidak","O2"
"O-54169-00","Control Unit G120 CU250S-2 DP Integriert Sinamics; Siemens; ;","1","0","0","Tidak","B-5"
"P-52489-00","Converter Cleanphone Phone; Yeastar; ;","0","0","0","Tidak","-"
"T-12314-00","Converter USB to RS232 UC232A; ; ;","0","0","0","Tidak","-"
"Q-10784-00","Convex Mirror 80 CM (Cermin Cembung)","0","0","0","Tidak","-"
"O-52187-00","Conveyor System - Amplifier E3X-HD11 Omron","0","0","0","Tidak","-"
"O-52184-00","Conveyor System - Hub Switch TP-LINK TL-SF-1008D","0","0","0","Tidak","-"
"O-52185-00","Conveyor System - Inverter ATV12H075M2 0.75KW 220V Scheider","0","0","0","Tidak","-"
"O-52188-00","Conveyor System - Optical Sensor E32-CC200 Omron","0","0","0","Tidak","-"
"O-52186-00","Conveyor System - Photoelectric Sensor E3FA-DN12 Omron","0","0","0","Tidak","-"
"O-52189-00","Conveyor System - Photoelectric Sensor RT318K/N-100.11 50108612 Leuze Electronics","0","0","0","Tidak","-"
"O-15572-00","CORDA TONDA IN NBR D=3MM; STERILINE ; PART NO :6829","1","0","0","Tidak","A-1-5A"
"Q-70238-00","Cordless Hot Gun include baterai; Bosch; GHG 18V-50; per set (Baterai 18V 4.0 Ah dan charger GAL 18V-40)","0","0","0","Tidak","-"
"Q-70125-00","Cordless Impact Wrench / Mesin Bor Impact Pembuka Baut Tanpa Kabel; Bosch; GDS 18C-400; pack size per set (baterai dan charger)","0","0","0","Tidak","-"
"O-15573-00","COUPLE OF SILICONE STRIPES FOR WASHING AND DRYING WHEELS EDM-2S; STERILINE; PART NO :18894","0","0","0","Tidak","-"
"O-19685-00","Coupling HRC Complete; STARKZ; 090FF;","0","0","0","Tidak","-"
"O-15575-00","COUPLING HUB; STERILINE ; GE-T 19/24 ESEC. -C-FORO DIAM. 19; PART NO :200834","0","0","0","Tidak","-"
"O-15574-00","COUPLING HUB: STERILINE ; GET 14 ALU-C DIAM-14; PART NO :200239","0","0","0","Tidak","-"
"P-17026-00","Cover Gasket Set DN15-25MM; ; ;","8","0","0","Tidak","M-2"
"S-63035-00","Cover Penutup Saklar","0","0","0","Tidak","-"
"T-30015-00","CPU Case Bracket Stand CPB5; Orico; ;","0","0","0","Tidak","-"
"O-20748-00","cRABS Z064CR - Cabinet Handle ENUX RAL 9005; Steriline; 1135571; 1 Pc","3","0","0","Tidak","B-4"
"O-53525-00","cRABS Z064CR - Cable Gland for Temperature Probe; -; 64940; 1 Pc","1","0","0","Tidak","-"
"O-54174-00","cRABS z064CR - Control Unit for Security Phot; Steriline; P/N 5914;","1","0","0","Tidak","B-3-4C"
"O-53475-00","cRABS Z064CR - Cooling water three way Actuator, Coster, 28715, CLNV150, Linear actuator for three w; ; 28715; 1 Pc","0","1","1","Tidak","-"
"O-53524-00","cRABS Z064CR - Digital Probe for Humidity and Temperature; -; 64939; 1 Pc","1","0","0","Tidak","H-3-3"
"O-53466-00","cRABS Z064CR - DOOR SAFETY SWITCHES ; SCHMERSAL ; MAGNET BPS-260; ; 14061; 1 Pc","1","1","2","Tidak","F-2-7"
"O-20918-00","cRABS Z064CR - Glove Port Pom White Uk: 227x310x15.25mm; Custom/Lokal; -; 1 Pc","0","0","0","Tidak","-"
"O-52268-00","cRABS Z064CR - Proximity Sensor BNS260-11ZG-ST-L Schmersal","0","0","0","Tidak","-"
"O-21126-00","cRABS Z064CR - Security PHOCELLS 7209 - plastic body; Protection P67; Receiver, max. di; Omron; E3FS-10DB4-P1 / E3FS-10LB-P1; 1 Pc","0","1","2","Tidak","-"
"O-53523-00","cRABS Z064CR - Transmitter for Temperature Probe HC2-xxx; -; 64938; 1 Pc","1","0","0","Tidak","H-2"
"O-19076-00","cRABS Z064CR - Vibrating Screen 15 Micron (510x725mm) x (540x770mm) + Frame 3mm Material: SS316; ; ;","0","0","0","Tidak","-"
"O-19074-00","cRABS Z064CR - Vibrating Screen 15 Micron (520x570mm) x (615x555mm) + Frame 3mm Material: SS316; ; ;","0","0","0","Tidak","-"
"O-19073-00","cRABS Z064CR - Vibrating Screen 15 Micron (570x900mm) x (610x935mm) + Frame 3mm Material: SS316; ; ;","0","0","0","Tidak","-"
"O-19075-00","cRABS Z064CR - Vibrating Screen 15 Micron (645x565mm) x (610x670mm) + Frame 3mm Material: SS316; ; ;","0","0","0","Tidak","-"
"O-19072-00","cRABS Z064CR - Vibrating Screen 15 Micron (905x570mm) x (935x615mm) + Frame 3mm Material: SS316; ; ;","0","0","0","Tidak","-"
"T-80145-00","Cutter Besar L-500 (18 mm); 5 pc/pck","0","0","0","Tidak","-"
"T-80149-00","Cutter Kenko L-150 (besar) - refill","0","0","0","Tidak","-"
"P-13596-00","Cutting Diamond Disc for Ceramic Turbo Bosch","0","0","0","Tidak","-"
"P-13365-00","Cutting Wheel 14"" nippon resibon; ; ;","2","1","3","Tidak","L-2"
"P-16250-00","Cutting Wheel Nippon Resibon A-46S BF dia. 105 mm","0","0","0","Tidak","-"
"O-52635-00","Danube 45587 - Electrovalvula 230V AC","1","0","0","Tidak","F-2-1"
"O-16826-00","DEMISTER, part number 402; ; ;","0","0","0","Tidak","-"
"Q-10518-00","Dempul","0","0","0","Tidak","-"
"Q-60006-00","Dempul kayu sanpolac @ 1kg","2","0","0","Tidak","Flammable"
"T-20129-00","Deuterium Lamp L6380 80V; Shimadzu; c/n 062-65055-05; 1 pc","0","0","0","Tidak","-"
"P-13415-00","DIAGONAL CUTTER PLIER 6INC; Krisbow; Part No. KW0101358;","0","0","0","Tidak","-"
"P-17548-00","Diaphragm (L) PRV 25P DN40 Code: 3265690 Spirax Sarco","0","0","0","Tidak","-"
"O-17420-00","Diaphragm Silicone Platinum Cured NA25/26 NovaSeptic","1","0","0","Tidak","E-4-1B"
"P-54159-00","Digital Controller CU-3 WINGEL","0","0","0","Tidak","-"
"O-15920-00","Digital Event I/O module PUM-E, model PUM ERYY1-0B072; ; ;","0","0","0","Tidak","-"
"O-51815-00","Digital probe for humidity and temperature; 64939; ; ;","0","0","1","Tidak","-"
"P-51781-00","Digital Temperature Switch Type : TS2-021; Voltage : 230 VAC; Brand: Dwyer; ;","0","0","0","Tidak","-"
"P-51770-00","Digital Thermostat Type RCF230D/L20V REGIN pc","0","0","0","Tidak","-"
"O-51813-00","Digital Timer Switch Simplexa 601 Theben Germany; ; ;","0","0","0","Tidak","-"
"P-15993-00","Digital Torque Wrench SQ 3/8 Inc 6,8-135Nm; ; ; pieces","0","0","0","Tidak","-"
"O-54129-00","Digital Vacuum Gauge VMV-1 0 - 75000 Microns; VALUE; ;","0","0","0","Tidak","-"
"T-80159-00","Divider Bulan Jan - Dec","0","0","0","Tidak","-"
"O-51705-00","DOOR CLOSED MICROSWITCH SIDE 1; F2.1 ;","0","0","0","Tidak","-"
"Q-10236-00","Door Closer Dekson 302 NHO","0","0","0","Tidak","-"
"Q-10550-00","Door Closer TS 2000V Hold Open GEZE; ; ;","3","0","0","Tidak","L3"
"Q-10817-00","Door Closer Type: TS77 Hold Open; DORMA; ;","1","1","5","Tidak","O-4"
"O-15576-00","DOOR GASKET RED SILICON; PART NO :PP600076","0","0","0","Tidak","-"
"O-15579-00","DOOR GASKET SIDE 1; DG ;","0","0","0","Tidak","-"
"O-15580-00","DOOR GASKET SIDE 2; DG1 ;","0","0","0","Tidak","-"
"O-15577-00","DOOR LOCKED/UNLOCKED LIMIT SWITCH(ADJUSTABLE ROLLER LEVER, 1NO+1NC,IP67)","0","0","0","Tidak","-"
"O-15581-00","DOOR SAFETY SWITCHES ; SCHMERSAL ; MAGNET BPS-260","0","1","2","Tidak","-"
"O-15582-00","DOOR SAFETY SWITCHES ; SCHMERSAL ; PROXIMITY SENSOR , BNS-260 FOR DOOR","0","0","0","Tidak","-"
"Q-12073-00","Door Seal Brush Alumunium; Lokal; Ukuran 100 cm x 3,5 cm; pc","4","0","0","Tidak","-"
"Q-10377-00","Door Seal Brush PVC Hitam Ukuran 100 x 2,5 cm; No Brand; ; pack size per pcs","0","0","0","Tidak","-"
"Q-10984-00","Door Seal Karet Penutup Bawah Pintu Abu 2,5 cm x 1 M; ; ;","0","0","0","Tidak","-"
"Q-12153-00","Door Seal Karet Penutup Bawah Pintu Hitam uk. 5 cm x 1 M; Lokal; ; pc","0","0","0","Tidak","-"
"O-15578-00","DOOR SEALING RING(?D?TYPE SILICON RUBBER 17X20 (7METERS))","0","0","0","Tidak","-"
"P-18466-00","Door Stickers T30A; upgraded type; ; ;","0","0","0","Tidak","-"
"P-13499-00","DOP Pipa PVC 4.0 inch","0","0","0","Tidak","-"
"O-15583-00","DOP+GASKET ( FOR RUPTURE DISK SILICON EXPANSION TANK, D=3)","0","0","0","Tidak","-"
"P-52844-00","Doshing Pump BT4B Merk Prominent; ; ;","0","0","0","Tidak","-"
"P-52579-00","Dosing Pump (Peristaltic Pump) 24 VDC 0-19 ml/min RZ1030-BX; ; ;","1","0","0","Tidak","M-4"
"P-12140-00","Double neeple SS 304 dia 1/2inch","0","0","0","Tidak","-"
"P-17071-00","Double neeple SS 304 dia 1/4inch; ; ;","0","0","0","Tidak","-"
"P-18267-00","Double Neple SS 304 Ukuran :1/2 inch","0","0","0","Tidak","-"
"P-12143-00","Double nepple Kuningan 1/2inch","0","0","0","Tidak","-"
"P-18331-00","Double Nepple Kuningan 1/8inch","0","0","0","Tidak","-"
"T-80169-00","Double Tape 1 inch","0","0","0","Tidak","-"
"T-80168-00","Double Tape 1/2 inch","0","0","0","Tidak","-"
"P-52766-00","Drain Pump AC M1 Merk Value; ; -; 1 pcs","0","0","0","Tidak","-"
"O-51706-00","DRAIN TEMPERATURE PROBE ; TE1/TE1R ;","0","0","0","Tidak","-"
"T-20842-00","Dricabi TS-51-D.U.S Shimadzu 206-71946","0","0","0","Tidak","-"
"Q-70156-00","Driver / Bor Cordless Impact Drill Baterai 18V; Bosch; GSB183-LI; per set (Bor dan 1 x baterai GBA 18V 2.0Ah)","0","0","0","Tidak","-"
"O-17730-00","Dry Fog - Inner Gasket; P/N. 43100-106; ; ;","0","0","0","Tidak","-"
"O-17732-00","Dry Fog - O-ring P4 MULTITRADE GOLDEN SYNERGY, PT P/N : 43100-082 pc","0","0","0","Tidak","-"
"S-40760-00","Dry Fog - Oring Spray; P/N. 43100-097","0","0","0","Tidak","-"
"O-17729-00","Dry Fog - Stainless steel way adapter (new type) MULTITRADE GOLDEN SYNERGY, PT P/N : 47049-234S pc","0","0","0","Tidak","-"
"O-15462-00","Dry Fog Stainless Steel FLOAT 47049-23S","0","0","0","Tidak","-"
"O-52920-00","Duct Outdoor Humidity Sensors Type: KAVTF-I_VA200 4...20mA 0100 % r.H. / 0...+50 deg C; S+S Regeltechnik; ;","0","0","0","Tidak","-"
"O-19953-00","Dudukan Cover Motor 243x320x550 mm, Mat SUS 304; Custom; ;","0","0","0","Tidak","-"
"O-19797-00","Dudukan Sensor Autoclave Material SUS 316L; Custom; ;","0","0","0","Tidak","-"
"O-19954-00","Dudukan Sensor Counter 2x100x100 mm, Mat. SUS 304; Custom; ;","0","0","0","Tidak","-"
"Q-10524-00","Dulux Wallfiller; Dulux; ;","0","0","0","Tidak","-"
"Q-10192-00","Dynabolt 8 X 40; ; ;","0","0","0","Tidak","-"
"Q-70068-00","Dynabolt Beton M10x60; M10; M10x60;","0","0","0","Tidak","-"
"Q-70069-00","Dynabolt Beton M10x70; M10; M10x70;","50","10","100","Tidak","-"
"Q-70072-00","Dynabolt Beton M12x70; M12; M12x70;","0","0","0","Tidak","-"
"Q-70065-00","Dynabolt Beton M8x60; M8; M8x60;","0","0","0","Tidak","-"
"Q-70066-00","Dynabolt Beton M8x70; M8; M8x70;","0","0","0","Tidak","-"
"P-12156-00","Dynabolt dia M 10x50 mm","0","0","0","Tidak","-"
"P-12157-00","Dynabolt m 6 x 30 mm","0","0","0","Tidak","-"
"P-12158-00","Dynabolt m 8 x 30 mm / m8 x 50 mm","0","0","0","Tidak","-"
"P-14522-00","Dynabolt M12x60mm; ; ;","0","0","0","Tidak","-"
"P-18410-00","Dynabolt M6 x 85mm; ; ;","0","0","0","Tidak","-"
"P-17000-00","Dynabolt M8; ; ;","0","0","0","Tidak","-"
"P-17050-00","Elbow 90 Kuningan 1/4"" NPT x 6mm Tubing; ; ;","0","0","0","Tidak","-"
"P-13647-00","Elbow Drat Luar dan Drat Dalam uk. 1/2 inch","0","0","0","Tidak","-"
"P-19032-00","Elbow Ferrule 1.5 Inch; Custom; ;","0","0","0","Tidak","-"
"P-19031-00","Elbow Ferrule 2 Inch; Custom; ;","0","0","0","Tidak","-"
"P-13033-00","Elbow long sanitary ss 316 dia. 1 Inch","0","0","0","Tidak","-"
"Q-10712-00","Elbow PVC Abu Abu AW 4"" Rucika; ; ;","0","0","0","Tidak","-"
"P-18277-00","Elbow PVC AW 45 deg dia 2 Inch; ; ;","4","0","0","Tidak","-"
"P-12186-00","Elbow PVC AW 90 deg dia 1/2inch","0","0","0","Tidak","-"
"P-12185-00","Elbow PVC AW 90 deg dia 1inch","0","0","0","Tidak","-"
"P-13500-00","Elbow SCH10 welded SUS304 3/4 inch; ; ;","0","0","0","Tidak","-"
"P-15596-00","Elbow SS 304 dia. 1 Sch 10","0","0","0","Tidak","-"
"P-13240-00","Elbow SS 304 welded dia 3/4inch","0","0","0","Tidak","-"
"P-18501-00","Elbow SS 316 1inch Sch20; ; ;","0","0","0","Tidak","-"
"P-12195-00","Elbow SS 316 L dia 1inch","6","0","0","Tidak","R-2-13"
"P-16992-00","Elbow SS304 SCH 10x1/2 inch","0","0","0","Tidak","-"
"P-52639-00","ELCB 40A 4P; Schneider; ;","0","0","0","Tidak","-"
"Q-50026-00","Electric Dropbolt Lock door access 5 Kabel Delay; Lokal; ; pc","0","0","0","Tidak","-"
"P-13413-00","ELECTRICIAN SCREWDRIVER PZ 6X100MM; Krisbow; Part No. KW0100765;","0","0","0","Tidak","-"
